City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Itapora,BR,72.16,clear sky,-22.0799,-54.7874,
629,Conceicao Do Araguaia,BR,72.79,overcast clouds,-8.2578,-49.2647,
630,Campo Verde,BR,76.21,overcast clouds,-20.4167,-54.0667,
631,Amapa,BR,71.11,overcast clouds,1.0,-52.0,
634,Buchanan,LR,78.8,clear sky,5.8808,-10.0467,
635,San Jose Del Palmar,CO,71.26,overcast clouds,4.9742,-76.2283,
639,Vilhena,BR,68.11,overcast clouds,-12.7406,-60.1458,
640,Ocos,GT,81.73,scattered clouds,14.5094,-92.1933,
646,Pathein,MM,65.23,scattered clouds,16.7833,94.7333,
647,Richards Bay,ZA,70.5,overcast clouds,-28.783,32.0377,
649,Xuddur,SO,66.63,overcast clouds,4.1213,43.8894,
651,Turbat,PK,65.57,clear sky,26.0023,63.044,
654,Ojinaga,MX,68.95,clear sky,29.5667,-104.4167,
655,Marihatag,PH,81.19,overcast clouds,8.7936,126.2969,
657,Dondo,MZ,70.41,clear sky,-19.6094,34.7431,
660,Kota Kinabalu,MY,82.38,few clouds,5.9749,116.0724,
667,Abapo,BO,69.8,clear sky,-18.8333,-63.4667,
668,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,
678,Rancho Palos Verdes,US,66.51,clear sky,33.7445,-118.387,
679,Tabug,PH,76.44,broken clouds,18.0343,120.5488,Sikatel Hotel
