City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Bucerias,MX,20.75,-105.3333,75.18,78,0,9.22,clear sky
277,Dali,CN,25.7,100.1833,38.46,85,22,2.06,few clouds
278,Boende,CD,-0.2167,20.8667,76.86,35,100,2.15,overcast clouds
279,Hasaki,JP,35.7333,140.8333,43.29,45,73,15.48,broken clouds
280,Zhicheng,CN,30.2956,111.5047,41.23,74,86,1.7,overcast clouds
281,Saldanha,ZA,-33.0117,17.9442,65.35,91,100,6.22,overcast clouds
282,Uddevalla,SE,58.3478,11.9424,35.22,58,67,2.62,broken clouds
283,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,12.66,scattered clouds
284,Saint-Pierre,RE,-21.3393,55.4781,74.88,73,40,5.75,scattered clouds
285,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.57,81,100,9.19,overcast clouds
286,Ponta Do Sol,PT,32.6667,-17.1,65.12,34,0,10.0,clear sky
287,Jining,CN,35.405,116.5814,37.0,1,2,8.52,clear sky
288,Hervey Bay,AU,-25.2986,152.8535,90.03,71,17,8.21,few clouds
289,Mareeba,AU,-17.0,145.4333,85.48,74,96,1.43,overcast clouds
290,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.17,97,100,1.41,overcast clouds
291,Cabo San Lucas,MX,22.8909,-109.9124,74.5,70,20,8.05,few clouds
292,Douglasville,US,33.7515,-84.7477,47.91,53,0,6.15,clear sky
293,Tiksi,RU,71.6872,128.8694,-18.6,100,100,4.29,overcast clouds
294,Suluq,LY,31.6682,20.2521,53.51,62,100,13.42,overcast clouds
295,Guerrero,MX,17.6667,-100.0,67.05,74,30,5.14,scattered clouds
296,Vasteras,SE,59.6162,16.5528,28.49,70,5,9.22,clear sky
297,Oyotun,PE,-6.8519,-79.3036,75.88,68,100,4.23,overcast clouds
298,Lafiagi,NG,8.8667,5.4167,73.08,12,73,5.46,broken clouds
299,Spring Valley,US,36.108,-115.245,61.99,17,20,3.44,few clouds
300,Cabras,IT,39.93,8.5314,52.07,86,15,7.56,few clouds
301,Alexandria,EG,31.2156,29.9553,51.85,69,13,14.67,few clouds
302,Joacaba,BR,-27.1781,-51.5047,64.63,99,59,4.99,broken clouds
303,Ribeira Grande,PT,38.5167,-28.7,59.83,72,90,22.84,overcast clouds
304,Port Hedland,AU,-20.3167,118.5667,93.25,49,100,8.05,overcast clouds
305,Wakuya,JP,38.5333,141.1333,33.76,53,19,15.86,few clouds
306,Henties Bay,NA,-22.116,14.2845,66.85,80,93,7.4,overcast clouds
307,Laguna,US,38.421,-121.4238,60.64,59,0,1.01,clear sky
308,Nemuro,JP,43.3236,145.575,18.66,62,12,14.14,few clouds
309,Madimba,TZ,-10.4,40.3333,75.31,90,11,2.93,light rain
310,Nome,US,64.5011,-165.4064,0.1,77,0,0.0,clear sky
311,San Cristobal,VE,7.7669,-72.225,68.18,91,100,2.64,overcast clouds
312,Lyuban,BY,52.7985,28.0048,28.58,95,100,16.06,light snow
313,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,81,91,21.05,overcast clouds
314,Imeni Zhelyabova,RU,58.9544,36.5956,21.0,94,100,8.9,light snow
315,Cidreira,BR,-30.1811,-50.2056,73.63,71,0,18.99,clear sky
316,Bata,GQ,1.8639,9.7658,79.41,85,100,6.85,light rain
317,Ponferrada,ES,42.5466,-6.5962,48.09,32,0,0.94,clear sky
318,Belmonte,BR,-15.8631,-38.8828,79.3,83,8,11.16,clear sky
319,Natchez,US,31.5604,-91.4032,55.62,52,0,6.91,clear sky
320,Eureka,US,40.8021,-124.1637,54.25,83,100,0.54,overcast clouds
321,Gat,IL,31.61,34.7642,48.4,66,96,6.26,overcast clouds
322,Bonthe,SL,7.5264,-12.505,76.05,90,2,2.3,clear sky
323,Asau,RO,46.4333,26.4,33.28,71,100,15.12,overcast clouds
324,Hitachi,JP,36.6,140.65,40.75,38,2,13.62,clear sky
325,Casas Grandes,MX,30.3667,-107.95,53.53,30,2,13.51,clear sky
326,Princeton,US,25.5384,-80.4089,55.42,54,0,6.91,clear sky
327,Esik,KZ,43.3552,77.4525,15.22,60,93,6.53,overcast clouds
328,Elizabeth City,US,36.2946,-76.2511,35.62,62,0,5.75,clear sky
329,Terney,RU,45.0503,136.6092,7.2,64,0,10.78,clear sky
330,Lasa,IT,46.6166,10.7002,44.06,36,4,5.37,clear sky
331,Kropotkin,RU,45.4375,40.5756,30.2,86,100,7.27,overcast clouds
332,Kavaratti,IN,10.5669,72.642,81.16,71,3,6.13,clear sky
333,Santa Maria,BR,-29.6842,-53.8069,70.74,74,0,5.77,clear sky
334,Tamboril,DO,19.4854,-70.611,70.57,94,100,0.0,thunderstorm
335,Poum,NC,-20.2333,164.0167,80.49,74,100,9.78,overcast clouds
336,Manicore,BR,-5.8092,-61.3003,72.77,93,100,2.26,overcast clouds
337,Guerrero Negro,MX,27.9769,-114.0611,61.84,60,9,12.97,clear sky
338,Kirakira,SB,-10.4544,161.9205,84.0,76,95,5.77,light rain
339,Lokosovo,RU,61.1333,74.8167,6.73,96,100,6.02,overcast clouds
340,Adrar,MR,20.5022,-10.0711,71.87,13,99,12.12,overcast clouds
341,Maceio,BR,-9.6658,-35.7353,80.04,89,20,4.61,few clouds
342,Hede,CN,33.7681,120.2517,37.92,59,73,7.38,broken clouds
343,Kalga,RU,50.9251,118.898,-10.03,92,14,3.74,few clouds
344,Bethanien,NA,-26.502,17.1583,74.91,54,25,2.8,light rain
345,Taihe,CN,30.8712,105.3845,43.48,73,99,0.96,moderate rain
